,exit_1,exit_2,exit_3,exit_4,exit_5,exit_6,exit_7,enter_1,enter_2,enter_3,enter_4,enter_5,enter_6
1383,2019-06-14,,,,,,,2019-06-25,,,,,
1384,2019-07-05,,,,,,,2020-06-25,,,,,
1385,2019-11-08,,,,,,,2020-06-25,,,,,
1386,2018-06-12,,,,,,,2018-06-26,,,,,
1387,2019-01-25,,,,,,,2019-06-26,,,,,
1388,2019-02-12,,,,,,,2019-06-26,,,,,
1389,2019-08-15,2018-03-15,,,,,,2020-06-26,2018-12-12,,,,
1390,2018-05-24,2018-02-16,,,,,,2018-06-27,2018-05-22,,,,
1391,2018-05-11,2018-04-11,,,,,,2018-06-28,2018-04-25,,,,
1392,2019-06-25,,,,,,,2019-06-28,,,,,
1393,2018-07-27,2018-04-13,,,,,,2019-06-28,2018-04-16,,,,
1394,2018-09-20,,,,,,,2019-06-28,,,,,
1395,2018-05-17,,,,,,,2018-06-29,,,,,
1396,2019-02-26,,,,,,,2020-06-29,,,,,
1397,2019-09-16,,,,,,,2020-06-29,,,,,
1398,2020-01-27,,,,,,,2020-06-30,,,,,
1399,2019-02-08,2017-10-23,,,,,,2019-07-01,2017-12-05,,,,
1400,2019-02-08,2017-10-23,,,,,,2019-07-01,2017-12-14,,,,
1401,2019-04-15,,,,,,,2019-07-01,,,,,
1402,2019-12-22,,,,,,,2020-07-01,,,,,
1403,2018-04-11,,,,,,,2018-07-02,,,,,
1404,2019-01-15,,,,,,,2019-07-02,,,,,
1405,2019-03-07,2018-03-12,,,,,,2019-07-02,2018-08-31,,,,
1406,2019-06-24,,,,,,,2020-07-02,,,,,
1407,2019-12-03,2019-06-04,,,,,,2020-07-02,2019-09-19,,,,
1408,2019-05-31,,,,,,,2019-07-03,,,,,
1409,2018-04-03,2018-04-03,,,,,,2018-07-05,2018-05-08,,,,
1410,2018-06-08,,,,,,,2018-07-05,,,,,
1411,2017-11-21,2020-10-04,,,,,,2018-07-05,,,,,
1412,2020-03-11,2019-07-27,,,,,,2020-07-06,2020-02-05,,,,
1413,2018-12-27,2018-10-25,,,,,,2020-07-06,2018-12-03,,,,
1414,2020-02-18,,,,,,,2020-07-07,,,,,
1415,2019-03-01,2019-03-01,2018-04-03,2018-04-03,,,,2020-07-07,2019-06-26,2018-07-30,2018-05-08,,
1416,2020-06-29,,,,,,,2020-07-07,,,,,
1417,2019-08-22,2018-05-07,2018-05-07,,,,,2020-07-07,2019-06-06,,,,
1418,2017-11-06,2017-11-03,,,,,,2020-07-07,2017-11-29,,,,
1419,2019-12-19,,,,,,,2020-07-07,,,,,
1420,2018-04-19,,,,,,,2019-07-08,,,,,
1421,2019-05-24,,,,,,,2019-07-08,,,,,
1422,2019-06-18,,,,,,,2019-07-08,,,,,
1423,2018-12-13,2018-11-20,,,,,,2019-07-08,2018-11-28,,,,
1424,2020-06-26,2020-05-27,2020-05-27,2018-06-05,2017-12-04,,,2020-07-08,2020-06-26,2020-06-10,2018-06-15,2018-05-30,
1425,2019-12-06,,,,,,,2020-07-08,,,,,
1426,2018-01-08,,,,,,,2018-07-09,,,,,
1427,2018-06-26,,,,,,,2018-07-09,,,,,
1428,2019-03-30,2019-01-25,,,,,,2019-07-09,2019-02-26,,,,
1429,2020-02-25,,,,,,,2020-07-09,,,,,
1430,2020-03-06,,,,,,,2020-07-09,,,,,
1431,2020-07-01,,,,,,,2020-07-09,,,,,
1432,2020-07-08,,,,,,,2020-07-09,,,,,
